search v2: odd=True, N_CAP=1.00e+21, DELTA_MAX=1.0e+07
progress: nodes=1,000,000 tested=256,692 found=0 n=146262406905907215 elapsed=407s
progress: nodes=2,000,000 tested=256,692 found=0 n=371534637491949855 elapsed=424s
progress: nodes=3,000,000 tested=256,692 found=0 n=605739639433075455 elapsed=442s
progress: nodes=4,000,000 tested=256,692 found=0 n=845328220677329235 elapsed=461s
progress: nodes=5,000,000 tested=256,692 found=0 n=1088787859749514155 elapsed=480s
progress: nodes=6,000,000 tested=256,692 found=0 n=1335336855701401245 elapsed=500s
progress: nodes=7,000,000 tested=256,692 found=0 n=1584339203267229255 elapsed=520s
progress: nodes=8,000,000 tested=259,240 found=0 n=1835550784108377105 elapsed=545s
progress: nodes=9,000,000 tested=259,240 found=0 n=2088568350695708805 elapsed=566s
progress: nodes=10,000,000 tested=259,240 found=0 n=2343147084748300215 elapsed=586s
progress: nodes=11,000,000 tested=259,240 found=0 n=2599331405681537835 elapsed=606s
progress: nodes=12,000,000 tested=259,240 found=0 n=2856824618721497655 elapsed=627s
progress: nodes=13,000,000 tested=259,240 found=0 n=3115475886301870245 elapsed=648s
progress: nodes=14,000,000 tested=259,240 found=0 n=3375245527078243665 elapsed=669s
progress: nodes=15,000,000 tested=259,240 found=0 n=3636118599974533365 elapsed=690s
progress: nodes=16,000,000 tested=259,240 found=0 n=3897940094691469365 elapsed=711s
progress: nodes=17,000,000 tested=259,240 found=0 n=4160556912310686195 elapsed=732s
progress: nodes=18,000,000 tested=259,240 found=0 n=4424225770132260015 elapsed=753s
progress: nodes=19,000,000 tested=259,240 found=0 n=4688619768179803995 elapsed=775s
progress: nodes=20,000,000 tested=259,240 found=0 n=4953717181321065465 elapsed=796s
progress: nodes=21,000,000 tested=259,240 found=0 n=896321346069069513285 elapsed=816s
progress: nodes=22,000,000 tested=259,240 found=0 n=200823668798189745 elapsed=832s
progress: nodes=23,000,000 tested=259,857 found=0 n=429066063208533135 elapsed=851s
progress: nodes=24,000,000 tested=259,857 found=0 n=665002836710772945 elapsed=870s
progress: nodes=25,000,000 tested=259,857 found=0 n=905826157648451655 elapsed=889s
progress: nodes=26,000,000 tested=259,857 found=0 n=1150330083124672065 elapsed=908s
progress: nodes=27,000,000 tested=259,857 found=0 n=147065399107598895 elapsed=924s
progress: nodes=28,000,000 tested=260,398 found=0 n=372604844592573285 elapsed=942s
progress: nodes=29,000,000 tested=260,398 found=0 n=607056444675199365 elapsed=961s
progress: nodes=30,000,000 tested=260,398 found=0 n=846904452604964985 elapsed=980s
progress: nodes=31,000,000 tested=260,398 found=0 n=47374481541480555 elapsed=996s
progress: nodes=32,000,000 tested=260,759 found=0 n=265258028692640445 elapsed=1014s
progress: nodes=33,000,000 tested=260,759 found=0 n=496392044547792855 elapsed=1032s
progress: nodes=34,000,000 tested=260,759 found=0 n=56843379230549835 elapsed=1048s
progress: nodes=35,000,000 tested=261,095 found=0 n=275775506659420845 elapsed=1066s
progress: nodes=36,000,000 tested=261,095 found=0 n=507311639764858005 elapsed=1084s
progress: nodes=37,000,000 tested=261,095 found=0 n=84308826000418635 elapsed=1100s
progress: nodes=38,000,000 tested=261,342 found=0 n=305866616576901765 elapsed=1118s
progress: nodes=39,000,000 tested=261,342 found=0 n=14617453622184105 elapsed=1135s
progress: nodes=40,000,000 tested=261,570 found=0 n=227980271933714685 elapsed=1152s
progress: nodes=41,000,000 tested=261,570 found=0 n=22101019331521515 elapsed=1168s
progress: nodes=42,000,000 tested=261,769 found=0 n=236870089409901255 elapsed=1185s
progress: nodes=43,000,000 tested=261,769 found=0 n=67640205013898055 elapsed=1201s
progress: nodes=44,000,000 tested=261,934 found=0 n=288046716360160065 elapsed=1218s
progress: nodes=45,000,000 tested=262,086 found=0 n=148027928789448015 elapsed=1234s
progress: nodes=46,000,000 tested=262,086 found=0 n=52265230257185715 elapsed=1250s
progress: nodes=47,000,000 tested=262,250 found=0 n=192882215864024345505 elapsed=1267s
progress: nodes=48,000,000 tested=262,396 found=0 n=174175504625396505 elapsed=1283s
progress: nodes=49,000,000 tested=262,531 found=0 n=90630242066471415 elapsed=1298s
progress: nodes=50,000,000 tested=262,531 found=0 n=20898200572361805 elapsed=1314s
progress: nodes=51,000,000 tested=262,677 found=0 n=68232849078902264295 elapsed=1331s
progress: nodes=52,000,000 tested=262,801 found=0 n=168955585178402715 elapsed=1347s
progress: nodes=53,000,000 tested=262,926 found=0 n=109231948934380965 elapsed=1363s
