k=22: none (halves=5394+7740, cand=0, 0.0s)
k=23: none (halves=5917+17196, cand=0, 0.0s)
k=24: none (halves=11735+17946, cand=0, 0.0s)
k=25: none (halves=12779+36016, cand=0, 0.0s)
k=26: none (halves=25418+36584, cand=0, 0.0s)
k=27: none (halves=27510+77154, cand=0, 0.0s)
k=28: none (halves=54713+82011, cand=0, 0.0s)
k=29: none (halves=58887+169749, cand=0, 0.0s)
k=30: none (halves=117150+183964, cand=0, 0.0s)
k=31: none (halves=125472+345757, cand=0, 0.0s)
k=32: none (halves=249805+398561, cand=0, 0.0s)
k=33: none (halves=266453+770416, cand=0, 0.0s)
k=34: none (halves=530521+775145, cand=0, 0.0s)
k=35: none (halves=563808+1698669, cand=0, 0.1s)
k=36: none (halves=1122895+1708572, cand=0, 0.1s)
k=37: none (halves=1189458+3436179, cand=0, 0.1s)
k=38: none (halves=2369864+3733618, cand=0, 0.2s)
k=39: none (halves=2502943+7198039, cand=0, 0.4s)
k=40: none (halves=4987266+7548703, cand=0, 0.6s)
done: k=22..40 complete (verify hits files with verify_hits.py)
