verify k=22: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=23: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=24: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=25: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=26: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=27: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=28: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=29: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=30: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=31: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=32: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=33: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=34: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=35: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=36: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=37: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=38: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=39: 0 verified, 0 rejected (of 0 candidates, gap<=2)
verify k=40: 0 verified, 0 rejected (of 0 candidates, gap<=2)
