search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 11
progress: nodes=10,000,000 tested=2,009 found=0 n=843203480807204096526375 elapsed=24s
progress: nodes=20,000,000 tested=2,009 found=0 n=732625957294984761776625 elapsed=49s
progress: nodes=30,000,000 tested=2,009 found=0 n=622892555616847504184625 elapsed=74s
progress: nodes=40,000,000 tested=2,009 found=0 n=514227519914280237082875 elapsed=98s
progress: nodes=50,000,000 tested=2,009 found=0 n=406789039944862001158875 elapsed=123s
progress: nodes=60,000,000 tested=2,009 found=0 n=300910370936372076325875 elapsed=148s
progress: nodes=70,000,000 tested=2,009 found=0 n=197084704869561103183875 elapsed=177s
progress: nodes=80,000,000 tested=2,009 found=0 n=96465709760615456707875 elapsed=206s
progress: nodes=90,000,000 tested=2,009 found=0 n=983174130577775733865125 elapsed=234s
progress: nodes=100,000,000 tested=2,009 found=0 n=871596442088365162508625 elapsed=258s
progress: nodes=110,000,000 tested=2,009 found=0 n=760853091230162146412625 elapsed=282s
progress: nodes=120,000,000 tested=2,009 found=0 n=650929004596303398697875 elapsed=306s
progress: nodes=130,000,000 tested=2,009 found=0 n=541972163687311516248375 elapsed=331s
progress: nodes=140,000,000 tested=2,009 found=0 n=434258056985478261446625 elapsed=356s
progress: nodes=150,000,000 tested=2,009 found=0 n=327928944365905976003625 elapsed=382s
progress: nodes=160,000,000 tested=2,009 found=0 n=223548691644584911015125 elapsed=411s
progress: nodes=170,000,000 tested=2,009 found=0 n=121968256089887489085375 elapsed=441s
progress: nodes=180,000,000 tested=2,009 found=0 n=25778291380261760286375 elapsed=470s
progress: nodes=190,000,000 tested=2,009 found=0 n=900316776773498673678375 elapsed=494s
progress: nodes=200,000,000 tested=2,009 found=0 n=789402976295338400584875 elapsed=518s
progress: nodes=210,000,000 tested=2,009 found=0 n=679294577550966523199625 elapsed=542s
progress: nodes=220,000,000 tested=2,009 found=0 n=570124340041711227790875 elapsed=567s
progress: nodes=230,000,000 tested=2,009 found=0 n=462104085037044979761375 elapsed=591s
progress: nodes=240,000,000 tested=2,009 found=0 n=355428629854845242606625 elapsed=615s
progress: nodes=250,000,000 tested=2,009 found=0 n=250536527575803729492375 elapsed=643s
progress: nodes=260,000,000 tested=2,009 found=0 n=148121563965087440281125 elapsed=672s
progress: nodes=270,000,000 tested=2,009 found=0 n=50041974398418010597875 elapsed=702s
progress: nodes=280,000,000 tested=2,009 found=0 n=929534921270913418514625 elapsed=729s
progress: nodes=290,000,000 tested=2,009 found=0 n=818425816446550386520875 elapsed=754s
progress: nodes=300,000,000 tested=2,009 found=0 n=708127306455494302216125 elapsed=779s
progress: nodes=310,000,000 tested=2,009 found=0 n=598750428334950434882625 elapsed=804s
progress: nodes=320,000,000 tested=2,009 found=0 n=490433520023019940921125 elapsed=828s
progress: nodes=330,000,000 tested=2,009 found=0 n=383406826277494975258875 elapsed=852s
progress: nodes=340,000,000 tested=2,009 found=0 n=278006799473136127840875 elapsed=878s
progress: nodes=350,000,000 tested=2,009 found=0 n=174884524797894806734125 elapsed=907s
progress: nodes=360,000,000 tested=2,009 found=0 n=75321495985977827532375 elapsed=936s
progress: nodes=370,000,000 tested=2,009 found=0 n=959047795443698289668625 elapsed=963s
progress: nodes=380,000,000 tested=2,009 found=0 n=847760038724858030718375 elapsed=988s
progress: nodes=390,000,000 tested=2,009 found=0 n=737302736907726564271125 elapsed=1013s
progress: nodes=400,000,000 tested=2,009 found=0 n=627666016654504391903625 elapsed=1038s
progress: nodes=410,000,000 tested=2,009 found=0 n=519079396909486142783625 elapsed=1063s
progress: nodes=420,000,000 tested=2,009 found=0 n=411736600118039146611375 elapsed=1088s
progress: nodes=430,000,000 tested=2,009 found=0 n=305907163574827155787875 elapsed=1113s
progress: nodes=440,000,000 tested=2,009 found=0 n=202097313239611741969875 elapsed=1142s
progress: nodes=450,000,000 tested=2,009 found=0 n=101403764683521098959875 elapsed=1171s
progress: nodes=460,000,000 tested=2,009 found=0 n=988907646338337840811125 elapsed=1199s
progress: nodes=470,000,000 tested=2,009 found=0 n=877462848069021417757125 elapsed=1223s
progress: nodes=480,000,000 tested=2,009 found=0 n=766830646791435166994625 elapsed=1247s
progress: nodes=490,000,000 tested=2,009 found=0 n=657002601382657091293875 elapsed=1271s
progress: nodes=500,000,000 tested=2,009 found=0 n=548134869031211984539875 elapsed=1296s
progress: nodes=510,000,000 tested=2,009 found=0 n=440488903954914857596125 elapsed=1322s
progress: nodes=520,000,000 tested=2,009 found=0 n=334241289000434239012875 elapsed=1347s
progress: nodes=530,000,000 tested=2,009 found=0 n=229864294192387361417625 elapsed=1376s
progress: nodes=540,000,000 tested=2,009 found=0 n=128213749430249065279125 elapsed=1405s
progress: nodes=550,000,000 tested=2,009 found=0 n=31629797578840249127625 elapsed=1434s
progress: nodes=560,000,000 tested=2,009 found=0 n=907594433539131938188875 elapsed=1459s
