search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
progress: nodes=10,000,000 tested=1,153 found=0 n=482585509282044455235 elapsed=24s
progress: nodes=20,000,000 tested=1,153 found=0 n=1008210838053914469585 elapsed=66s
progress: nodes=30,000,000 tested=1,153 found=0 n=1548818868450773148255 elapsed=108s
progress: nodes=40,000,000 tested=1,153 found=0 n=2099161231457740265205 elapsed=150s
progress: nodes=50,000,000 tested=1,153 found=0 n=2656729251483384784005 elapsed=193s
progress: nodes=60,000,000 tested=1,153 found=0 n=3220033497675663556485 elapsed=236s
progress: nodes=70,000,000 tested=1,153 found=0 n=3788130667980227621715 elapsed=280s
progress: nodes=80,000,000 tested=1,153 found=0 n=4360298762623369160205 elapsed=325s
progress: nodes=90,000,000 tested=1,153 found=0 n=4936066458220532592945 elapsed=371s
progress: nodes=100,000,000 tested=1,153 found=0 n=5515004694577210389765 elapsed=417s
progress: nodes=110,000,000 tested=1,153 found=0 n=6096808211668615471095 elapsed=463s
progress: nodes=120,000,000 tested=1,153 found=0 n=6681222179355369192885 elapsed=509s
progress: nodes=130,000,000 tested=1,153 found=0 n=7267928681401108067295 elapsed=554s
progress: nodes=140,000,000 tested=1,153 found=0 n=7856874146883746587005 elapsed=600s
progress: nodes=150,000,000 tested=1,153 found=0 n=8447913887739661773945 elapsed=647s
progress: nodes=160,000,000 tested=1,153 found=0 n=9040791611622746002365 elapsed=695s
progress: nodes=170,000,000 tested=1,153 found=0 n=9635409903071366224785 elapsed=742s
progress: nodes=180,000,000 tested=1,153 found=0 n=10231685930782115866755 elapsed=789s
progress: nodes=190,000,000 tested=1,153 found=0 n=10829650975147834181235 elapsed=836s
progress: nodes=200,000,000 tested=1,153 found=0 n=11429131326009118142265 elapsed=883s
progress: nodes=210,000,000 tested=1,153 found=0 n=12029953744362066284655 elapsed=938s
progress: nodes=220,000,000 tested=1,153 found=0 n=12632169277468261502865 elapsed=998s
progress: nodes=230,000,000 tested=1,153 found=0 n=13235604578012192777505 elapsed=1060s
progress: nodes=240,000,000 tested=1,153 found=0 n=13840376833739817275265 elapsed=1120s
progress: nodes=250,000,000 tested=1,153 found=0 n=14446292573038568806395 elapsed=1179s
progress: nodes=260,000,000 tested=1,153 found=0 n=15053354974854187786665 elapsed=1238s
progress: nodes=270,000,000 tested=1,153 found=0 n=15661409521844484194355 elapsed=1298s
progress: nodes=280,000,000 tested=1,153 found=0 n=16270612870505936746635 elapsed=1359s
progress: nodes=290,000,000 tested=1,153 found=0 n=16880765527100488040235 elapsed=1418s
progress: nodes=300,000,000 tested=1,153 found=0 n=17492073451569285864165 elapsed=1478s
progress: nodes=310,000,000 tested=1,153 found=0 n=18104064042450781899855 elapsed=1536s
progress: nodes=320,000,000 tested=1,153 found=0 n=18717160386554216763345 elapsed=1596s
progress: nodes=330,000,000 tested=1,153 found=0 n=19331070156260984146545 elapsed=1657s
progress: nodes=340,000,000 tested=1,153 found=0 n=19945950240937523308155 elapsed=1717s
progress: nodes=350,000,000 tested=1,153 found=0 n=20561630109370171637985 elapsed=1777s
progress: nodes=360,000,000 tested=1,153 found=0 n=21178138935290962559805 elapsed=1836s
progress: nodes=370,000,000 tested=1,153 found=0 n=21795263740166449172445 elapsed=1896s
progress: nodes=380,000,000 tested=1,153 found=0 n=22413183644320931734155 elapsed=1956s
progress: nodes=390,000,000 tested=1,153 found=0 n=23031949586704383585195 elapsed=2016s
progress: nodes=400,000,000 tested=1,153 found=0 n=23651428603984915989645 elapsed=2078s
progress: nodes=410,000,000 tested=1,153 found=0 n=24271677478523837736855 elapsed=2142s
progress: nodes=420,000,000 tested=1,153 found=0 n=24892616406327229292265 elapsed=2207s
progress: nodes=430,000,000 tested=1,153 found=0 n=25514045509150819335195 elapsed=2274s
progress: nodes=440,000,000 tested=1,153 found=0 n=26136275587158223642545 elapsed=2341s
progress: nodes=450,000,000 tested=1,153 found=0 n=26759028349915434130545 elapsed=2406s
progress: nodes=460,000,000 tested=1,153 found=0 n=27382521146329343212335 elapsed=2470s
progress: nodes=470,000,000 tested=1,153 found=0 n=28006682886075019988745 elapsed=2536s
progress: nodes=480,000,000 tested=1,153 found=0 n=28631500858785083274405 elapsed=2603s
progress: nodes=490,000,000 tested=1,153 found=0 n=29256671884017649430385 elapsed=2669s
progress: nodes=500,000,000 tested=1,153 found=0 n=29882667507196073621805 elapsed=2734s
progress: nodes=510,000,000 tested=1,153 found=0 n=30509106303571730255655 elapsed=2798s
progress: nodes=520,000,000 tested=1,153 found=0 n=31136169359324632998915 elapsed=2863s
progress: nodes=530,000,000 tested=1,153 found=0 n=31763574712257209880435 elapsed=2931s
progress: nodes=540,000,000 tested=1,153 found=0 n=32391763759256296653765 elapsed=2996s
progress: nodes=550,000,000 tested=1,153 found=0 n=33020327775632079589785 elapsed=3061s
progress: nodes=560,000,000 tested=1,153 found=0 n=33649438310727351108165 elapsed=3127s
progress: nodes=570,000,000 tested=1,153 found=0 n=34279074108388736197155 elapsed=3194s
progress: nodes=580,000,000 tested=1,153 found=0 n=34909149142120346433405 elapsed=3261s
progress: nodes=590,000,000 tested=1,153 found=0 n=35539812313307416453365 elapsed=3325s
progress: nodes=600,000,000 tested=1,153 found=0 n=36170895879760229667495 elapsed=3389s
progress: nodes=610,000,000 tested=1,153 found=0 n=36802447173652161261195 elapsed=3453s
progress: nodes=620,000,000 tested=1,153 found=0 n=37434464093737985882985 elapsed=3520s
progress: nodes=630,000,000 tested=1,153 found=0 n=38067035439290796543735 elapsed=3586s

done in 3600.0s | nodes=632,221,696 | tested=1,153 | weird=0
